TradeDate,TickerSymbol,NObsJanela,RetJanela,VolDiariaJanela,VolAnualJanela,VolumeJanela,NumNegociosJanela,IndiceLiquidez
2025-10-29,BTHI11      ,02, 0.63233783, 0.35459799, 5.62906579,00000000002204083.8400,000000125,00000000000017632.6707
2025-10-29,BITI11      ,02, 0.05104540, 0.07329522, 1.16352496,00000000002584454.4200,000001872,00000000000001380.5846
2025-10-29,GLDX11      ,02,-0.30522063, 0.25224044, 4.00419086,00000000002767862.9300,000005426,00000000000000510.1111
2025-10-29,RZTR11      ,02, 5.48014330, 1.98081389, 1.44443009,00000000002602994.9000,000004147,00000000000000627.6814
2025-10-29,RZZR11      ,02, 0.94251489, 0.46499046, 7.38149105,00000000000179032.1600,000000576,00000000000000310.8197
2025-10-29,OIAG11      ,02, 0.36945887, 0.23096452, 3.66644627,00000000000466129.5800,000000654,00000000000000712.7363
2025-10-29,TORD11      ,02,-0.77585227, 1.05281363, 6.71288996,00000000057872941.6900,000000113,00000000000512149.9264
2025-10-29,FRCJ27      ,02,-0.81897784, 1.22905898, 9.51069677,00000000012106919.0400,000000004,00000000003026729.7600
2025-10-29,CNIC34      ,02, 3.10778613, 1.01384052, 6.09421133,00000000033392973.2800,000008542,00000000000003909.2687
2025-10-29,MSFT34      ,02, 1.16818180, 0.58284708, 9.25240597,00000000028052503.0100,000004625,00000000000006065.4060
2025-10-29,CMDB11      ,02,-0.98856566, 3.16263301, 0.20521771,00000000000122041.9500,000000146,00000000000000835.9037
2025-10-29,MKLC34      ,02,-0.84171974, 1.27490124, 0.23841973,00000000096965716.0600,000016374,00000000000005921.9320
2025-10-29,BEEF3       ,02,-0.11665888, 0.04525218, 0.71835573,00000000115904939.9400,000020090,00000000000005769.2852
2025-10-29,BCHI39      ,02, 2.38554585, 0.85877371, 3.63260325,00000000000060309.3000,000000024,00000000000002512.8875
2025-10-29,FLRY3       ,02,-0.58338778, 0.60264698, 9.56671948,00000000053885925.8900,000023281,00000000000002314.5881
2025-10-29,BTHF11      ,02, 2.26927634, 0.82925333, 3.16398198,00000000004426079.4300,000014113,00000000000000313.6171
2025-10-29,HGBS11      ,02,-0.96490764, 2.37569289, 7.71293678,00000000002167205.7600,000011302,00000000000000191.7541
2025-10-29,CATP34      ,02, 0.40549860, 0.08598180, 1.36491808,00000000003549553.8300,000002934,00000000000001209.8002
2025-10-29,PMLL11      ,02,-0.23037848, 0.18072974, 2.86899425,00000000003134024.0200,000003618,00000000000000866.2310
2025-10-29,KFOF11      ,02,-0.23737879, 0.20822699, 3.30549935,00000000009910448.9400,000014863,00000000000000666.7865
2025-10-29,XPML11      ,02, 0.18492890, 0.11298938, 1.79364991,00000000009049915.9300,000014241,00000000000000635.4831
2025-10-29,IMBB11      ,02, 0.08453038, 0.06053428, 0.96095142,00000000001840069.6800,000000108,00000000000017037.6822
2025-10-29,IBIT39      ,02, 5.94090979, 1.39969897, 2.21952129,00000000005212449.1700,000001158,00000000000004501.2514
2025-10-29,IMAB11      ,02,-0.86182947, 1.39875142, 2.20447941,00000000052924305.3400,000010584,00000000000005000.4067
2025-10-29,CXSE3       ,02, 6.12141399, 2.33840311, 7.12098016,00000000138659376.5700,000018018,00000000000007695.6030
2025-10-29,SMAL11      ,02,-0.50458979, 0.50306602, 7.98592153,00000000392699667.2100,000011830,00000000000033195.2381
